NO CLIENTE,NÚMERO DE PEDIDO,NOMBRE DEL CLIENTE,FECHA DE ENVÍO,FLETERA,NÚMERO DE GUÍA,COSTO DE LA GUÍA,PROMESA DE ENTREGA,FECHA DE ENTREGA REAL,DESTINO,CANTIDAD DE CAJAS,COMENTARIOS
C08429,232207,CITY EXPRES PLUS MEXICALI (CPMXL),10/12/2025,TRES GUERRAS,GLZ02735452,222.5,15/12/2025,16/12/2025,"MEXICALI, BC.",1,Sin Incidencias
C07427,232208,INSUMOS DEL NORTE,10/12/2025,TINY PACK,GD 3458989,135.86,15/12/2025,16/12/2025,"CD JUAREZ, CHI.",8,Sin Incidencias
C08429,232210,CITY EXPRES PLUS MEXICALI (CPMXL),10/12/2025,TRES GUERRAS,GLZ02735452,222.5,15/12/2025,16/12/2025,"MEXICALI, BC.",3,Sin Incidencias
C01565,232211,FIESTA INN MONCLOVA (FIMNC),10/12/2025,TRES GUERRAS,GLZ02735403,445,14/12/2025,12/12/2025,"MONCLOVA, COA.",7,Sin Incidencias
C04964,232215,HILTON LOS CABOS (SJDGV),10/12/2025,TRES GUERRAS,GLZ02735337,4566.95,15/12/2025,15/12/2025,"SAN JOSE DEL CABO, BCS.",48,Sin Incidencias
C02270,232216,DOUBLETREE BY HILTON VERACRUZ (VERMA),10/12/2025,TRES GUERRAS,GLZ02735439,445,14/12/2025,12/12/2025,"VERACRUZ, VER.",5,Sin Incidencias
C01317,232217,COMFORT INN MONTERREY VALLE (143200),10/12/2025,ONE,JALGDL 237835,307.5,12/12/2025,17/12/2025,"SAN PEDRO GARZA GARCIA, NL.",32,Sin Incidencias
C08766,232220,HILTON MONTERREY (MTYVO),10/12/2025,ONE,JALGDL 237834,704.12,12/12/2025,12/12/2025,"MONTERREY, NL.",14,Sin Incidencias
C02087,232223,PROMASUR,10/12/2025,TRES GUERRAS,GLZ02735485,1246,14/12/2025,15/12/2025,"MERIDA, YUC.",14,Sin Incidencias
C08090,232224,HOTEL MISION PACHUCA,10/12/2025,TRES GUERRAS,GLZ02735478,1080,12/12/2025,12/12/2025,"PACHUCA DE SOTO, HID.",18,Sin Incidencias
C09593,232226,DESARROLLO INMOBILIARIO DE LOS ALTOS,10/12/2025,TRES GUERRAS,GLZ02735353,1874.8,12/12/2025,17/12/2025,"SAN JUAN DE LOS LAGOS, JAL.",46,Sin Incidencias
C08928,232229,HOLIDAY INN EXPRESS SATELITE (MEXCA),09/12/2025,ONE,JALGDL 237778,868.29,11/12/2025,13/12/2025,"NAUCALPAN DE JUAREZ, DF2.",17,Sin Incidencias
C08529,232230,HOLIDAY INN EXPRESS GUAYMAS (GYMSO),10/12/2025,TRES GUERRAS,GLZ02735318,1691,13/12/2025,12/12/2025,"GUAYMAS, SON.",19,Sin Incidencias
C06518,232231,HOLIDAY INN CHILPANCINGO (ACAGO),10/12/2025,TRES GUERRAS,GLZ02735364,1335,14/12/2025,13/12/2025,"CHILPANCINGO, GRO.",15,Sin Incidencias
C06539,232237,PRESIDENTE INTERCONTINENTAL POLANCO,10/12/2025,ONE,JALGDL 237826,2279,12/12/2025,12/12/2025,"CIUDAD DE MEXICO, CMX.",43,Sin Incidencias
C06539,232238,PRESIDENTE INTERCONTINENTAL POLANCO,10/12/2025,ONE,JALGDL 237826,2120,12/12/2025,12/12/2025,"CIUDAD DE MEXICO, CMX.",40,Sin Incidencias
C04913,232239,PRESIDENTE INTERCONTINENTAL COZUMEL,10/12/2025,TRES GUERRAS,GLZ02735286,2136,20/12/2025,15/12/2025,"COZUMEL, QR.",24,Sin Incidencias
C04913,232241,PRESIDENTE INTERCONTINENTAL COZUMEL,10/12/2025,TRES GUERRAS,GLZ02735286,356,20/12/2025,15/12/2025,"COZUMEL, QR.",4,Sin Incidencias
C04913,232242,PRESIDENTE INTERCONTINENTAL COZUMEL,10/12/2025,TRES GUERRAS,GLZ02735286,1691,20/12/2025,15/12/2025,"COZUMEL, QR.",19,Sin Incidencias
C08080,232243,PRESIDENTE INTERCONTINENTAL CANCUN,10/12/2025,TRES GUERRAS,GLZ02735389,445,15/12/2025,15/12/2025,"CANCUN, QR.",5,Sin Incidencias
C08080,232244,PRESIDENTE INTERCONTINENTAL CANCUN,10/12/2025,TRES GUERRAS,GLZ02735389,890,15/12/2025,15/12/2025,"CANCUN, QR.",10,Sin Incidencias
C08080,232245,PRESIDENTE INTERCONTINENTAL CANCUN,10/12/2025,TRES GUERRAS,GLZ02735389,890,15/12/2025,15/12/2025,"CANCUN, QR.",10,Sin Incidencias
C04297,232246,CASA INN BUSINESS HOTEL CELAYA GALERIAS,10/12/2025,TRES GUERRAS,GLZ02735374,420,12/12/2025,11/12/2025,"CELAYA, GTO.",7,Sin Incidencias
C07380,232247,HOTEL CAROLINA,12/12/2025,FLETES DE REGRESO,119433G,490,17/12/2025,17/12/2025,"CHETUMAL, OTHON BLANCO, QR.",4,Sin Incidencias
C08856,232250,COMFORT INN LOS CABOS (143191),10/12/2025,TRES GUERRAS,GLZ02735290,2277.2,15/12/2025,13/12/2025,"LOS CABOS, BCS.",20,Sin Incidencias
C04844,232252,HAMPTON INN QUERETARO(QROHT),10/12/2025,ONE,JALGDL 237827,856,12/12/2025,11/12/2025,"QUERETARO, QUE.",11,Sin Incidencias
C03626,232254,HOTEL TRUEBA,10/12/2025,TRES GUERRAS,GLZ02736078,1310,14/12/2025,13/12/2025,"ORIZABA, VER.",15,Sin Incidencias
C07762,232255,CITY EXPRESS CABORCA (CECAB),10/12/2025,TINY PACK,GD 3458990,831.03,14/12/2025,16/12/2025,"CABORCA, SON.",16,Sin Incidencias
C08800,232256,STAYBRIDGE SALTILLO (SLWGP),10/12/2025,TINY PACK,GD 3458991,526.9,13/12/2025,17/12/2025,"SALTILLO, COA.",10,Sin Incidencias
C09591,232259,ECONO EXPRESS HOTEL,10/12/2025,ONE,JALGDL 237837,1953,12/12/2025,17/12/2025,"ALC. BENITO JUAREZ, CMX.",357,Sin Incidencias
C08624,232261,HOLIDAY INN & SUITES PUERTO VALLARTA (PVRIF),10/12/2025,SANCHEZ,2838639,652.71,12/12/2025,12/12/2025,"PUERTO VALLARTA, JAL.",11,Sin Incidencias
C09268,232264,HAMPTON INN QUERETARO JURIQUILLA,10/12/2025,ONE,JALGDL 237828,315,12/12/2025,11/12/2025,"QUERETARO, QUE.",6,Sin Incidencias
C08134,232266,VILLAS DEL PALMAR LOS CABOS,10/12/2025,TRES GUERRAS,GLZ02735296,1138.6,15/12/2025,13/12/2025,"CABO SAN LUCAS, BCS.",72,Sin Incidencias
C01317,232267,COMFORT INN MONTERREY VALLE (143200),10/12/2025,ONE,JALGDL 237830,1309,12/12/2025,18/12/2025,"SAN PEDRO GARZA GARCIA, NL.",26,Sin Incidencias
C07384,232268,CITY EXPRESS TLALPAN (CETLA),10/12/2025,ONE,JALGDL 237829,1312,12/12/2025,16/12/2025,"MEXICO, CMX.",26,Sin Incidencias
C03079,232269,HOTEL EL PARAISO MINERAL DEL CHICO,11/12/2025,TRES GUERRAS,GLZ02736023,480,14/12/2025,17/12/2025,"Pachuca, HID.",8,Sin Incidencias
C04297,232270,CASA INN BUSINESS HOTEL CELAYA GALERIAS,10/12/2025,TRES GUERRAS,GLZ02735429,480,12/12/2025,15/12/2025,"CELAYA, GTO.",8,Sin Incidencias
C08457,232271,COMERCIALIZADORA SAM,10/12/2025,ONE,JALGDL 237831,307.9,13/12/2025,17/12/2025,"SAN NICOLAS DE LOS GARZA, NL.",1,Sin Incidencias
C08229,232272,HOTEL BOKETTO,10/12/2025,TRES GUERRAS,GLZ02735501,445,14/12/2025,12/12/2025,"TUXPAN, VER.",2,Sin Incidencias
C02037,232274,HOTEL REAL POSADA,10/12/2025,TRES GUERRAS,GLZ02735508,780,12/12/2025,11/12/2025,"Manzanillo, COL.",13,Sin Incidencias
C01722,232276,CITY EXPRESS MEXICALI (CEMXL),10/12/2025,TRES GUERRAS,GLZ02735304,1513,15/12/2025,16/12/2025,"MEXICALI, BC.",17,Sin Incidencias
C06133,232278,BEST WESTERN SANTORINI,12/12/2025,CASTORES,14270167915,1422,16/12/2025,,"VICTORIA, TAM.",18,Sin Incidencias
C07505,232280,CITY EXPRESS CHIHUAHUA (CECHI),10/12/2025,TRES GUERRAS,GLZ02735310,1157,15/12/2025,15/12/2025,"CHIHUAHUA, CHI.",13,Sin Incidencias
C08613,232281,YUCATAN COUNTRY CLUB,10/12/2025,TRES GUERRAS,GLZ02735399,1335,14/12/2025,15/12/2025,"MERIDA, YUC.",15,Sin Incidencias
C00620,232282,HOTEL RIO TEQUISQUIAPAN,10/12/2025,TRES GUERRAS,GLZ02735472,480,12/12/2025,15/12/2025,"TEQUISQUIAPAN, QUE.",8,Sin Incidencias
C08080,232283,PRESIDENTE INTERCONTINENTAL CANCUN,10/12/2025,TRES GUERRAS,GLZ02735276,3560,15/12/2025,15/12/2025,"CANCUN, QR.",40,Sin Incidencias
C04321,232284,ONE MONCLOVA (1MNCN),10/12/2025,TRES GUERRAS,GLZ02735424,445,14/12/2025,12/12/2025,"MONCLOVA, COA.",2,Sin Incidencias
C05472,232285,FIESTA AMERICANA REFORMA  FARF,10/12/2025,ONE,JALGDL 237832,307.9,12/12/2025,12/12/2025,"MEXICO, DF.",4,Sin Incidencias
C08275,232286,HILTON MEXICO CITY REFORMA (MEXRF),10/12/2025,ONE,JALGDL 237836,1949,12/12/2025,12/12/2025,"DELEGACION CUAUHTEMOC, CMX.",38,Sin Incidencias
C01774,232287,HOTEL STORE PUERTO VALLARTA,10/12/2025,SANCHEZ,2838637,1642.26,12/12/2025,12/12/2025,"BAHIA DE BANDERAS, NAY.",2,Sin Incidencias
C05726,232288,WYNDHAM GARDEN MONTERREY VALLE REAL(MTYVR),12/12/2025,ONE,JALGDL 237881,907.23,14/12/2025,15/12/2025,"MONTERREY, NL.",10,Sin Incidencias
C09589,232292,FLOR Y CANTO HOTEL,11/12/2025,TRES GUERRAS,GLZ02738049,400,15/12/2025,16/12/2025,"MATEHUALA, SLP.",2,Sin Incidencias
C09220,232293,ONE CD JUAREZ,12/12/2025,TRES GUERRAS,GLZ02738563,2814.81,17/12/2025,16/12/2025,"CD. JUAREZ, CHI.",32,Sin Incidencias
C07020,232295,ENCORE AGUASCALIENTES A0191473,12/12/2025,TRES GUERRAS,GLZ02737883,300,14/12/2025,12/12/2025,"AGUASCALIENTES, AGS.",5,Sin Incidencias
C08997,232303,MARCOS ALFREDO RAMOS SANDOVAL,11/12/2025,TINY PACK,GD 3459176,177.5,16/12/2025,18/12/2025,"DELICIAS, CHI.",3,Sin Incidencias
C09582,232304,WYNDHAM GARDEN SALTILLO,11/12/2025,TINY PACK,GD 3459171,7832.4,14/12/2025,16/12/2025,"SALTILLO, COA.",285,Sin Incidencias
C06901,232309,BLUE BAY GRAND ESMERALDA,12/12/2025,TRES GUERRAS,GLZ02738550,3892.58,17/12/2025,15/12/2025,"SOLIDARIDAD, QR.",90,Sin Incidencias
C09463,232317,INDIGO PLAYA DEL CARMEN,12/12/2025,TRES GUERRAS,GLZ02737902,1246,17/12/2025,15/12/2025,"PLAYA DEL CARMEN, QR.",14,Sin Incidencias
C09463,232319,INDIGO PLAYA DEL CARMEN,12/12/2025,TRES GUERRAS,GLZ02737902,1068,17/12/2025,15/12/2025,"PLAYA DEL CARMEN, QR.",12,Sin Incidencias
C09463,232320,INDIGO PLAYA DEL CARMEN,12/12/2025,TRES GUERRAS,GLZ02737902,350,17/12/2025,15/12/2025,"PLAYA DEL CARMEN, QR.",166,Sin Incidencias
C00003,232322,PRODUCTOS QUIMICOS Y DE LIMPIEZA DEL NORTE,12/12/2025,CORRECAMINOS,GDL49462,1794.65,17/12/2025,17/12/2025,"DELICIAS, CHI.",8,Sin Incidencias
C09328,232325,COMSAN,12/12/2025,CASTORES,14270167917,1817,16/12/2025,,"PUERTO PEÑASCO, SON.",23,Sin Incidencias
C08350,232330,GARDEN INN PUEBLA (PBCGI),11/12/2025,TRES GUERRAS,GLZ02737857,360,13/12/2025,15/12/2025,"SAN ANDRES, PUE.",6,Sin Incidencias
C00464,232331,QUALITY INN CD OBREGON (143212),11/12/2025,TINY PACK,GDL 42845,780.34,15/12/2025,13/12/2025,"CIUDAD OBREGON, SON.",15,Sin Incidencias
C04135,232333,HOTEL VICTORIA,11/12/2025,TRES GUERRAS,GLZ02737939,519.6,16/12/2025,16/12/2025,"CD. CONSTITUCION, BCS.",3,Sin Incidencias
C01566,232335,CHN CENTRO,12/12/2025,ONE,JALGDL 237879,753.35,14/12/2025,16/12/2025,"MONTERREY, NL.",15,Sin Incidencias
C00137,232336,HOLIDAY INN MONCLOVA (LOVMX),11/12/2025,TRES GUERRAS,GLZ02737891,588,15/12/2025,15/12/2025,"MONCLOVA, COA.",7,Sin Incidencias
C00137,232337,HOLIDAY INN MONCLOVA (LOVMX),12/12/2025,TRES GUERRAS,GLZ02737891,168,16/12/2025,15/12/2025,"MONCLOVA, COA.",2,Sin Incidencias
C08017,232338,GYAPHARMA,11/12/2025,TINY PACK,GDL 42847,526.9,13/12/2025,12/12/2025,"TEPIC, NAY.",10,Sin Incidencias
C02054,232341,HOLIDAY INN URUAPAN (UPNMX),12/12/2025,TRES GUERRAS,GLZ02737898,1020,15/12/2025,15/12/2025,"URUAPAN, MCH.",17,Sin Incidencias
C03389,232342,WYNDHAM GARDEN AEROPUERTO,12/12/2025,ONE,JALGDL 237876,1165.23,14/12/2025,23/12/2025,"APODACA, NL.",23,Sin Incidencias
C07278,232343,CITY EXPRESS QUERETARO (CEQRO),11/12/2025,TRES GUERRAS,GLZ02737880,720,13/12/2025,12/12/2025,"QUERETARO, QUE.",12,Sin Incidencias
C07317,232344,CITY EXPRESS LA PAZ (CELAP),11/12/2025,TRES GUERRAS,GLZ02737874,1594.04,16/12/2025,16/12/2025,"LA PAZ, BCS.",14,Sin Incidencias
C02295,232345,CITY EXPRESS MINATITLAN (CEMTT),11/12/2025,TRES GUERRAS,GLZ02737868,1424,15/12/2025,15/12/2025,"MINATITLAN, VER.",16,Sin Incidencias
C05806,232349,HOTEL REAL 1900,11/12/2025,TRES GUERRAS,GLZ02737943,1513,14/12/2025,15/12/2025,"IGUALA DE LA INDEPENDENCIA, GRO.",17,Sin Incidencias
C01005,232350,RAMADA PLAZA LEON,12/12/2025,TRES GUERRAS,GLZ02737877,480,14/12/2025,16/12/2025,"LEON, GTO.",8,Sin Incidencias
C04552,232351,HOLIDAY INN EXPRESS & SUITES QUERETARO (MQERG),11/12/2025,TRES GUERRAS,GLZ02737895,720,13/12/2025,15/12/2025,"QUERETARO, QUE.",12,Sin Incidencias
C00335,232352,HOTEL Y MOTEL EL DORADO,12/12/2025,TRES GUERRAS,GLZ02738003,1869,15/12/2025,19/12/2025,"LOS MOCHIS, SIN.",21,Sin Incidencias
C00240,232353,HOTEL VICTORIA,11/12/2025,TRES GUERRAS,GLZ02737931,445,15/12/2025,13/12/2025,"POZA RICA, VER.",2,Sin Incidencias
C07441,232354,HOTEL JF GRAND,12/12/2025,ONE,JALGDL 237889,477,14/12/2025,13/12/2025,"PUEBLA, PUE.",9,Sin Incidencias
C07441,232355,HOTEL JF GRAND,12/12/2025,ONE,JALGDL 237889,53,14/12/2025,13/12/2025,"PUEBLA, PUE.",3,Sin Incidencias
C08464,232357,GARDEN INN BOCA DEL RIO VERACRUZ (VERBR),11/12/2025,TRES GUERRAS,GLZ02737888,801,15/12/2025,15/12/2025,"BOCA DEL RIO VERACRUZ, VER.",9,Sin Incidencias
C02378,232358,HOTEL MI RANCHITO,15/12/2025,TIBSA,D955742,531,19/12/2025,19/12/2025,"XICOTEPEC DE JUAREZ, PUE.",10,Sin Incidencias
C02413,232359,CITY EXPRESS TORREON (CETRC),11/12/2025,TINY PACK,GD 3459174,729.66,14/12/2025,16/12/2025,"TORREON, COA.",14,Sin Incidencias
C08543,232361,HAMPTON INN SAN LUIS POTOSI,12/12/2025,ONE,JALGDL 237878,1162.13,14/12/2025,17/12/2025,"SAN LUIS POTOSI, SLP.",23,Sin Incidencias
C08863,232365,MONTERREY LIVING,12/12/2025,ONE,JALGDL 237914,1014.46,14/12/2025,18/12/2025,"MONTERREY, NL.",20,Sin Incidencias
CLIESP,232366,VENTAS DE MOSTRADOR,19/12/2025,FLETES DE REGRESO,119803G,480,21/12/2025,21/12/2025,"GUADALAJARA, JAL.",3,Sin Incidencias
C07723,232367,MOTEL BALI,15/12/2025,CASTORES,14270168182,1501,18/12/2025,,"CADEREYTA, NL.",19,Sin Incidencias
C09586,232368,PROYECTO G2,12/12/2025,ONE,JALGDL 237913,409.56,14/12/2025,16/12/2025,"NAULPAN DE JUAREZ, MEX.",8,Sin Incidencias
C07156,232369,CITY EXPRESS OAXACA (CEOAX),11/12/2025,TRES GUERRAS,GLZ02737864,1691,14/12/2025,16/12/2025,"OAXACA DE JUAREZ, OAX.",19,Sin Incidencias
C02643,232370,HOTELES VIRREYES,12/12/2025,TRES GUERRAS,GLZ02739195,780,14/12/2025,18/12/2025,"TEPATITLAN, JAL.",13,Sin Incidencias
C00472,232374,HOLIDAY INN MORELIA A0200839 (MLMFO),12/12/2025,TRES GUERRAS,GLZ02739119,1200,15/12/2025,19/12/2025,"MORELIA, MCH.",20,Sin Incidencias
C07957,232375,ENCORE MONTERREY,12/12/2025,ONE,JALGDL 237911,705,15/12/2025,18/12/2025,"CIUDAD APODACA, NL.",14,Sin Incidencias
C05818,232376,RAMADA ENCORE PUEBLA A0191476,15/12/2025,TRES GUERRAS,GLZ02739112,360,17/12/2025,15/12/2025,"CORONANGO, PUE.",6,Sin Incidencias
C09206,232377,HOTEL MONTETAXCO,12/12/2025,TRES GUERRAS,GLZ02739169,660,16/12/2025,15/12/2025,"TAXCO DE ALARCON, GRO.",11,Sin Incidencias
C01774,232382,HOTEL STORE PUERTO VALLARTA,12/12/2025,SANCHEZ,2839289,7200,14/12/2025,14/12/2025,"BAHIA DE BANDERAS, NAY.",180,Sin Incidencias
C00128,232383,HOTEL MANSION DEL CUPATITZIO,13/12/2025,TRES GUERRAS,GLZ02739495,400,16/12/2025,16/12/2025,"URUAPAN, MCH.",3,Sin Incidencias
C04065,232385,HOTEL CAMINO DE PIEDRA,12/12/2025,TRES GUERRAS,GLZ02739181,480,14/12/2025,15/12/2025,"GUANAJUATO, GTO.",8,Sin Incidencias
C06507,232386,HOTEL BEST WESTERN PLUS GRAN MARQUES,12/12/2025,TRES GUERRAS,GLZ02739186,300,14/12/2025,15/12/2025,"TOLUCA, DF2.",5,Sin Incidencias
C09590,232387,HOTEL LAS CUMBRES GUACHOCHI,13/12/2025,TRES GUERRAS,GLZ02739940,712,17/12/2025,20/12/2025,"GUACHOCHI, CHI.",8,Sin Incidencias
C01770,232388,CITY EXPRESS TEPOTZOTLAN (CETPO),12/12/2025,ONE,JALGDL 237915,308.7,14/12/2025,16/12/2025,"TEPOTZOTLAN, MEX.",2,Sin Incidencias
C08778,232389,MOTEL BARCELONA,12/12/2025,TRES GUERRAS,GLZ02739164,270,14/12/2025,15/12/2025,"TEPIC, NAY.",5,Sin Incidencias
C08778,232390,MOTEL BARCELONA,12/12/2025,TRES GUERRAS,GLZ02739164,108,14/12/2025,15/12/2025,"TEPIC, NAY.",2,Sin Incidencias
C04173,232391,HOTEL BELLO VERACRUZ,17/12/2025,TRES GUERRAS,GLZ02746893,1869,21/12/2025,22/12/2025,"BOCA DEL RIO, VER.",21,Sin Incidencias
C08457,232392,COMERCIALIZADORA SAM,12/12/2025,ONE,JALGDL 237916,307.47,15/12/2025,17/12/2025,"SAN NICOLAS DE LOS GARZA, NL.",1,Sin Incidencias
C07295,232393,KARINA MIREYA MONARREZ AVILEZ,15/12/2025,KORA,GT734051,294,17/12/2025,17/12/2025,"SANTA MARIA DEL ORO, NAY.",3,Sin Incidencias
C01783,232395,MG COMERCIALIZADORA,12/12/2025,TRES GUERRAS,GLZ02739090,3749.6,15/12/2025,13/12/2025,"MAZATLAN, SIN.",99,Sin Incidencias
C07439,232396,HOTEL AMOR Y PAZ,12/12/2025,TRES GUERRAS,GLZ02739148,300,16/12/2025,19/12/2025,"MATEHUALA, SLP.",5,Sin Incidencias
C07578,232397,MARTIN ALCARAZ GASTELUM,12/12/2025,TRES GUERRAS,GLZ02739239,445,17/12/2025,18/12/2025,"CHIHUAHUA, CHI.",5,Sin Incidencias
C00668,232398,HOLIDAY INN MERIDA (MIDMX),13/12/2025,TRES GUERRAS,GLZ02739492,445,17/12/2025,18/12/2025,"MERIDA, YUC.",2,Sin Incidencias
C08449,232399,COURTYARD LOS LAGOS SAN LUIS POTOSI A0153234,12/12/2025,TRES GUERRAS,GLZ02739100,600,14/12/2025,16/12/2025,"SAN LUIS POTOSI, SLP.",10,Sin Incidencias
C02370,232400,PUEBLA ARCANGEL,12/12/2025,ONE,JALGDL 237912,316,14/12/2025,15/12/2025,"PUEBLA, PUE.",5,Sin Incidencias
C08562,232401,HAMPTON INN DOWNTOWN AGUASCALIENTES (AGUMX),12/12/2025,TRES GUERRAS,GLZ02739127,400,14/12/2025,13/12/2025,"AGUASCALIENTES, AGS.",4,Sin Incidencias
C08540,232402,HAMPTON INN MERIDA (MIDHX),12/12/2025,FLETES DE REGRESO,119543G,840,16/12/2025,16/12/2025,"MERIDA, YUC.",14,Sin Incidencias
C04260,232405,ENCORE SAN LUIS A0191479,12/12/2025,TRES GUERRAS,GLZ02739107,400.02,14/12/2025,13/12/2025,"SAN LUIS POTOSI, SLP.",3,Sin Incidencias
C01825,232408,HOTEL MESON ECO,12/12/2025,TRES GUERRAS,GLZ02739198,1020,14/12/2025,13/12/2025,"ZAMORA, MCH.",17,Sin Incidencias
C05942,232409,HAMPTON INN SALTILLO(SLWHA),12/12/2025,TINY PACK,GD 3459348,2301.03,15/12/2025,17/12/2025,"SALTILLO, COA.",45,Sin Incidencias
C08871,232410,HOLIDAY INN EXPRESS & SUITES PUEBLA ANGELOPOLIS  (PUEAN),12/12/2025,TRES GUERRAS,GLZ02739069,2040,14/12/2025,15/12/2025,"SAN ANDRES CHOLULA, PUE.",34,Sin Incidencias
C04593,232411,HOLIDAY INN EXPRESS TOLUCA TOLLOCAN (TLUDR),12/12/2025,TRES GUERRAS,GLZ02739084,480,14/12/2025,13/12/2025,"Toluca de Lerdo, MEX.",8,Sin Incidencias
CF0058,232412,REAL INN MEXICALI,12/12/2025,TRES GUERRAS,GLZ02739063,890,17/12/2025,19/12/2025,"MEXICALI, BC.",10,Sin Incidencias
C00112,232413,HOLIDAY INN EXPRESS MORELIA (MLMRA) A0200840,12/12/2025,TRES GUERRAS,GLZ02739057,420,15/12/2025,19/12/2025,"MORELIA, MCH.",7,Sin Incidencias
C01046,232414,HOTEL QUINTA LAS FLORES,12/12/2025,TRES GUERRAS,GLZ02739154,360,15/12/2025,15/12/2025,"CUERNAVACA, MOR.",6,Sin Incidencias
C00699,232416,HOTEL PANORAMA,12/12/2025,ONE,JALGDL 237910,408.78,14/12/2025,16/12/2025,"SAN LUIS POTOSI, SLP.",8,Sin Incidencias
C06605,232417,FAIRFIELD MARRIOT NOGALES A0097801,12/12/2025,TINY PACK,GD 3459345,628.28,15/12/2025,16/12/2025,"NOGALES, SON.",12,Sin Incidencias
C02600,232418,HOLIDAY INN TUXPAN (PAZTU),12/12/2025,TRES GUERRAS,GLZ02739075,534,16/12/2025,15/12/2025,"TUXPAN, VER.",6,Sin Incidencias
C08708,232419,HOTEL LIZBETH,12/12/2025,TRES GUERRAS,GLZ02739175,400,15/12/2025,17/12/2025,"TULA DE ALLENDE, HID.",2,Sin Incidencias
C08297,232420,GARDEN INN SILAO AEROPUERTO (BJXBA),15/12/2025,TRES GUERRAS,GLZ02742076,1874.8,17/12/2025,17/12/2025,"SILAO, GTO.",55,Sin Incidencias
C05844,232421,HOLIDAY INN EXPRESS SAN JERONIMO(MILENIUM) (MTYSJ),15/12/2025,ONE,JALGDL 237967,606.43,17/12/2025,18/12/2025,"MONTERREY, NL.",12,Sin Incidencias
C02352,232422,LA QUINTA POZA RICA,15/12/2025,TRES GUERRAS,GLZ02742285,1246,19/12/2025,19/12/2025,"POZA RICA, VER.",14,Sin Incidencias
C08883,232423,VOCO PUEBLA (PBCPL),15/12/2025,TRES GUERRAS,GLZ02741820,300,17/12/2025,22/12/2025,"PUEBLA, PUE.",5,Sin Incidencias
C02080,232425,HOTEL PLAZA,15/12/2025,TRES GUERRAS,GLZ02742142,2520,19/12/2025,16/12/2025,"RIO VERDE, SLP.",42,Sin Incidencias
C07203,232426,CITY EXPRESS HERMOSILLO (CEHMO),15/12/2025,TINY PACK,GDL 43339,135.86,18/12/2025,17/12/2025,"HERMOSILLO, SON.",1,Sin Incidencias
C08599,232427,HOTEL CASA AZULAI PUEBLA,15/12/2025,TRES GUERRAS,GLZ02742152,400,17/12/2025,17/12/2025,"PUEBLA, PUE.",4,Sin Incidencias
C03092,232428,HOTEL LUCERNA MEXICALI,15/12/2025,TRES GUERRAS,GLZ02742271,445,20/12/2025,19/12/2025,"MEXICALI, BC.",5,Sin Incidencias
C03204,232429,HOTEL VILLA MEXICANA ZIHUATANEJO,15/12/2025,TRES GUERRAS,GLZ02742405,445,20/12/2025,16/12/2025,"ZIHUATANEJO, GRO.",5,Sin Incidencias
C05965,232431,HILTON MEXICO CITY AIRPORT,15/12/2025,ONE,JALGDL 237969,1065,17/12/2025,18/12/2025,"MEXICO, CMX.",21,Sin Incidencias
C07134,232433,HOLIDAY INN TLAXCALA (PBCAX),15/12/2025,TRES GUERRAS,GLZ02742255,540,19/12/2025,17/12/2025,"YAUHQUEMEHCAN, TLA.",9,Sin Incidencias
C01774,232436,HOTEL STORE PUERTO VALLARTA,12/12/2025,SANCHEZ,2839289,640,14/12/2025,14/12/2025,"BAHIA DE BANDERAS, NAY.",16,Sin Incidencias
C01326,232438,COMFORT INN CORDOBA (143195),15/12/2025,TRES GUERRAS,GLZ02742202,445,19/12/2025,16/12/2025,"CORDOBA, VER.",5,Sin Incidencias
C08695,232439,HAMPTON INN CIUDAD DEL CARMEN (CMEMX),15/12/2025,TRES GUERRAS,GLZ02742264,712,18/12/2025,18/12/2025,"CIUDAD DEL CARMEN, CAM.",8,Sin Incidencias
C07310,232440,HOTEL NOBU LOS CABOS (KTRC Hotel Nobu Los Cabos),15/12/2025,TRES GUERRAS,GLZ02742268,569.3,20/12/2025,22/12/2025,"CABO SAN LUCAS, BCS.",5,Sin Incidencias
C08539,232442,CITY EXPRESS MONTERREY UNIVERSIDAD (CEMTS),15/12/2025,ONE,JALGDL 237966,307.5,17/12/2025,18/12/2025,"MONTERREY, NL.",1,Sin Incidencias
C09071,232443,REAL INN SAN LUIS POTOSI,15/12/2025,TRES GUERRAS,GLZ02742244,1080,17/12/2025,16/12/2025,"SAN LUIS POTOSI, SLP.",18,Sin Incidencias
C08464,232444,GARDEN INN BOCA DEL RIO VERACRUZ (VERBR),15/12/2025,TRES GUERRAS,GLZ02742235,2670,19/12/2025,17/12/2025,"BOCA DEL RIO VERACRUZ, VER.",30,Sin Incidencias
C07623,232447,CASAGO LA PAZ,15/12/2025,TRES GUERRAS,GLZ02742294,544.44,20/12/2025,19/12/2025,"LA PAZ, BCS.",4,Sin Incidencias
C09573,232449,FIESTA INN OAXACA (FIOAX),15/12/2025,TRES GUERRAS,GLZ02742188,445,18/12/2025,17/12/2025,"OAXACA, OAX.",2000,Sin Incidencias
C01774,232450,HOTEL STORE PUERTO VALLARTA,16/12/2025,SANCHEZ,2839289,40,18/12/2025,18/12/2025,"BAHIA DE BANDERAS, NAY.",1,Sin Incidencias
